ds,y
6/1/2004,8.679166667
7/1/2004,10.525
8/1/2004,13.725
9/1/2004,14.3
10/1/2004,13.5125
11/1/2004,14.13333333
12/1/2004,12.525
13/01/2004,12.8
14/01/2004,12.425
15/01/2004,8.466666667
16/01/2004,8.6625
17/01/2004,11.53333333
18/01/2004,9.120833333
19/01/2004,6.879166667
20/01/2004,6.658333333
21/01/2004,6.345833333
22/01/2004,6.8125
23/01/2004,10.16666667
24/01/2004,13.23333333
25/01/2004,12.95833333
26/01/2004,13.71666667
27/01/2004,13.49583333
28/01/2004,8.858333333
29/01/2004,7.520833333
30/01/2004,11.00833333
31/01/2004,12.60833333
1/2/2004,14.1375
2/2/2004,15.21666667
3/2/2004,15.10833333
4/2/2004,15.025
5/2/2004,14.2125
6/2/2004,13.35833333
7/2/2004,12.30833333
8/2/2004,12.77916667
9/2/2004,12.1625
10/2/2004,12.36666667
11/2/2004,11.63333333
12/2/2004,10.225
13/02/2004,10.51666667
14/02/2004,10.55
15/02/2004,9.4
16/02/2004,8.875
17/02/2004,10.36666667
18/02/2004,10.65416667
19/02/2004,9.504166667
20/02/2004,8.1
21/02/2004,7.279166667
22/02/2004,7.341666667
23/02/2004,9.804166667
24/02/2004,9.25
25/02/2004,8.7875
26/02/2004,9.266666667
27/02/2004,8.091666667
28/02/2004,7.758333333
29/02/2004,8.433333333
1/3/2004,7.1
2/3/2004,6.904166667
3/3/2004,8.279166667
4/3/2004,10.6625
5/3/2004,12.00833333
6/3/2004,12.9375
7/3/2004,10.22916667
8/3/2004,10.66666667
9/3/2004,10.89583333
10/3/2004,11.86666667
11/3/2004,11.9625
12/3/2004,11.65416667
13/03/2004,9.954166667
14/03/2004,9.591666667
15/03/2004,12.78333333
16/03/2004,14.49166667
17/03/2004,14.69166667
18/03/2004,12.32916667
19/03/2004,12.05833333
20/03/2004,12.21666667
21/03/2004,11.9625
22/03/2004,10.65833333
23/03/2004,10.25833333
24/03/2004,11.17916667
25/03/2004,10.71666667
26/03/2004,10.3125
27/03/2004,10.92083333
28/03/2004,10.21666667
29/03/2004,10.54583333
30/03/2004,11.09166667
31/03/2004,12.375
1/4/2004,10.22083333
2/4/2004,10.5375
3/4/2004,12.23333333
4/4/2004,12.67083333
5/4/2004,15.3625
6/4/2004,14.15416667
7/4/2004,12.90416667
8/4/2004,13.8625
9/4/2004,12.5625
10/4/2004,11.58333333
11/4/2004,11.80416667
12/4/2004,11.75833333
13/04/2004,13.97083333
14/04/2004,14.80416667
15/04/2004,13.92083333
16/04/2004,12.475
17/04/2004,11.60416667
18/04/2004,12.5875
19/04/2004,12.38333333
20/04/2004,14.2375
21/04/2004,13.0375
22/04/2004,12.875
23/04/2004,14.80833333
24/04/2004,16.63333333
25/04/2004,18.7125
26/04/2004,18.57916667
27/04/2004,18.45416667
28/04/2004,16.76666667
29/04/2004,14.0375
